"x","y","o3_aot40v_22"
4057000,2611000,25303.119140625
4059000,2611000,25741.01171875
4061000,2611000,26523.3125
4063000,2611000,27335.62890625
4065000,2611000,27991.439453125
4067000,2611000,28224.533203125
4069000,2611000,26150.310546875
4071000,2611000,26091.6328125
4073000,2611000,25551.05859375
4075000,2611000,24115.859375
4077000,2611000,21582.8828125
4079000,2611000,22382.373046875
4081000,2611000,23086.4296875
4083000,2611000,22575.708984375
4085000,2611000,21936.38671875
4087000,2611000,24603.728515625
4089000,2611000,25543.578125
4091000,2611000,23662.14453125
4093000,2611000,23867.14453125
4095000,2611000,21748.025390625
4097000,2611000,19856.4140625
4099000,2611000,20922.783203125
4101000,2611000,25400.5390625
4103000,2611000,24308.9453125
4105000,2611000,24294.96875
4107000,2611000,25169.634765625
4109000,2611000,25911.916015625
4111000,2611000,25841.234375
4113000,2611000,24052.931640625
4115000,2611000,23756.72265625
4117000,2611000,23113
4119000,2611000,20910.5625
4121000,2611000,21346.71484375
4123000,2611000,25764.41796875
4125000,2611000,26074.365234375
4127000,2611000,24132.60546875
4129000,2611000,22137.619140625
4131000,2611000,26059.8125
4133000,2611000,23115.59375
4135000,2611000,27349.43359375
4137000,2611000,25093.919921875
4139000,2611000,19218.8515625
4141000,2611000,16794.08203125
4143000,2611000,21049.923828125
4145000,2611000,21010.111328125
4147000,2611000,20105.2890625
4149000,2611000,26670.65234375
4151000,2611000,26721.67578125
4153000,2611000,29473.94140625
4155000,2611000,30073.74609375
4157000,2611000,27047.81640625
4159000,2611000,23989.833984375
4161000,2611000,19204.6640625
4163000,2611000,25342.59765625
4165000,2611000,26339.431640625
4167000,2611000,25055.533203125
4169000,2611000,28479.421875
4171000,2611000,27436.37890625
4173000,2611000,25174.26171875
4175000,2611000,33661.9765625
4177000,2611000,38483.078125
4179000,2611000,33659.3984375
4181000,2611000,34842.46484375
4183000,2611000,33098.99609375
4185000,2611000,33164.80859375
4187000,2611000,32530.3828125
4189000,2611000,30765.638671875
4191000,2611000,27507.482421875
4193000,2611000,27211.03515625
4195000,2611000,33532.828125
4197000,2611000,32137.96484375
4199000,2611000,35027.17578125
4201000,2611000,33041.640625
4203000,2611000,30333.892578125
4205000,2611000,27698.0390625
4207000,2611000,24664.75390625
4209000,2611000,26725.771484375
4211000,2611000,25876.482421875
4213000,2611000,31262.931640625
4215000,2611000,32849.7578125
4217000,2611000,29698.140625
4219000,2611000,30881.20703125
4221000,2611000,31673.98828125
4223000,2611000,31381.31640625
4225000,2611000,30648.43359375
4227000,2611000,32896.58203125
4229000,2611000,29501.552734375
4231000,2611000,27318.97265625
4233000,2611000,26758.06640625
4235000,2611000,32422.046875
4237000,2611000,34287.296875
4239000,2611000,29601.21875
4241000,2611000,32093.20703125
4243000,2611000,31309.498046875
4245000,2611000,31835.6015625
4247000,2611000,33099.63671875
4249000,2611000,28758.68359375
4251000,2611000,29143.7734375
4253000,2611000,33126.7734375
4255000,2611000,29021.576171875
4257000,2611000,24468.38671875
4259000,2611000,26382.41796875
4261000,2611000,30687.67578125
4263000,2611000,31803.15625
4265000,2611000,28314.181640625
4267000,2611000,31519.55078125
4269000,2611000,33802.22265625
4271000,2611000,31422.677734375
4273000,2611000,29831.439453125
4275000,2611000,27558.4375
4277000,2611000,21552.9375
4279000,2611000,25997.484375
4281000,2611000,32774.84765625
4283000,2611000,33733.28515625
4285000,2611000,29731.46484375
4287000,2611000,25868.67578125
4289000,2611000,22714.779296875
4291000,2611000,25295.734375
4293000,2611000,31036.41796875
4295000,2611000,33028.109375
4297000,2611000,32855.4296875
4299000,2611000,32468.03125
4301000,2611000,29293.693359375
4303000,2611000,26169.8515625
4305000,2611000,29261.078125
4307000,2611000,32188.205078125
4309000,2611000,31578.111328125
4311000,2611000,34670.9375
4313000,2611000,32610.6953125
4315000,2611000,31678.27734375
4317000,2611000,28442.275390625
4319000,2611000,25490.654296875
4321000,2611000,25735.23828125
4323000,2611000,26544.56640625
4325000,2611000,28963.927734375
4327000,2611000,30768.486328125
4329000,2611000,33525.046875
4331000,2611000,33303.96875
4333000,2611000,31957.294921875
4335000,2611000,27151.263671875
4337000,2611000,28993.369140625
4339000,2611000,27917.08984375
4341000,2611000,30143.9921875
4343000,2611000,31987.1640625
4345000,2611000,31525.783203125
4347000,2611000,27852.8046875
4349000,2611000,25148.923828125
4351000,2611000,25549.458984375
4353000,2611000,24403.955078125
4355000,2611000,23462.98828125
4357000,2611000,29070.59375
4359000,2611000,31680.990234375
4361000,2611000,28593.892578125
4363000,2611000,24432.50390625
4365000,2611000,20289.615234375
4367000,2611000,19875.87890625
4369000,2611000,20163.890625
4371000,2611000,20549.650390625
4373000,2611000,20468.484375
4375000,2611000,19567.625
4377000,2611000,19919.869140625
4379000,2611000,20172.255859375
4381000,2611000,19740.5625
4383000,2611000,17853.9609375
4385000,2611000,17017.94140625
4387000,2611000,17555.814453125
4389000,2611000,18817.21875
4391000,2611000,22257.333984375
4393000,2611000,24598.91015625
4395000,2611000,25450.248046875
4397000,2611000,26381.1796875
4399000,2611000,29761.70703125
4401000,2611000,29853.984375
4403000,2611000,25753.91015625
4405000,2611000,21073.529296875
4407000,2611000,19431.8359375
4409000,2611000,17372.416015625
4411000,2611000,15598.564453125
4413000,2611000,18322.6328125
4415000,2611000,23770.416015625
4417000,2611000,25087.015625
4419000,2611000,27417.01953125
4421000,2611000,27382.888671875
4423000,2611000,28430.18359375
4425000,2611000,27374.75
4427000,2611000,22971.18359375
4429000,2611000,26807.265625
4431000,2611000,30447.212890625
4433000,2611000,31469.421875
4435000,2611000,28416.36328125
4437000,2611000,23377.126953125
4439000,2611000,20628.77734375
4441000,2611000,22226.9140625
4443000,2611000,23053.5078125
4445000,2611000,24006.6640625
4447000,2611000,28218.974609375
4449000,2611000,31315.3984375
4451000,2611000,29941.1484375
4453000,2611000,31558.15625
4455000,2611000,32309.55078125
4457000,2611000,33090.5234375
4459000,2611000,33861.2890625
4461000,2611000,32932.73046875
4463000,2611000,32670.62109375
4465000,2611000,28831.572265625
4467000,2611000,23676.287109375
4469000,2611000,26140.6328125
4471000,2611000,31045.03515625
4473000,2611000,32758.701171875
4475000,2611000,30240.6484375
4477000,2611000,28604.26953125
4479000,2611000,27668.64453125
4481000,2611000,24036.265625
4483000,2611000,23388.3046875
4485000,2611000,25179.384765625
4487000,2611000,28278.734375
4489000,2611000,31271.712890625
4491000,2611000,29788.466796875
4493000,2611000,25930.546875
4495000,2611000,26184.357421875
4497000,2611000,27770.53125
4499000,2611000,23524.3046875
4501000,2611000,20962.34375
4503000,2611000,19987.7265625
4505000,2611000,20560.1171875
4507000,2611000,25196.6796875
4509000,2611000,25368.87890625
4511000,2611000,20584.16015625
4513000,2611000,18827.96484375
4515000,2611000,17444.9609375
4517000,2611000,20453.71484375
4519000,2611000,18152.990234375
4521000,2611000,16753.453125
4523000,2611000,18081.28125
4525000,2611000,20158.203125
4527000,2611000,20298.912109375
4529000,2611000,19001.4296875
4531000,2611000,18140.021484375
4533000,2611000,16531.5390625
4535000,2611000,15159.1982421875
4537000,2611000,15806.95703125
4539000,2611000,17027.958984375
4541000,2611000,20736.0078125
4057000,2609000,24978.35546875
4059000,2609000,25337.474609375
4061000,2609000,26236.404296875
4063000,2609000,26909.25
4065000,2609000,27531.720703125
4067000,2609000,27695.314453125
4069000,2609000,25981.96484375
4071000,2609000,25735.26171875
4073000,2609000,25180.67578125
4075000,2609000,24131.474609375
4077000,2609000,21868.16015625
4079000,2609000,22190.392578125
4081000,2609000,23242.18359375
4083000,2609000,22650.50390625
4085000,2609000,22718.501953125
4087000,2609000,26457.685546875
4089000,2609000,25848.27734375
4091000,2609000,26254.080078125
4093000,2609000,25352.84765625
4095000,2609000,24312.484375
4097000,2609000,20053.984375
4099000,2609000,21595.7578125
4101000,2609000,25887.189453125
4103000,2609000,25850.62890625
4105000,2609000,26626.060546875
4107000,2609000,25149.83984375
4109000,2609000,26466.515625
4111000,2609000,26883.32421875
4113000,2609000,24904.90234375
4115000,2609000,25896.87109375
4117000,2609000,24003.61328125
4119000,2609000,20844.19921875
4121000,2609000,21046.27734375
4123000,2609000,25592.998046875
4125000,2609000,27209.720703125
4127000,2609000,23799.94921875
4129000,2609000,22822.125
4131000,2609000,26529.509765625
4133000,2609000,26390.62890625
4135000,2609000,27061.283203125
4137000,2609000,22614.1796875
4139000,2609000,18652.005859375
4141000,2609000,17615.552734375
4143000,2609000,22485.513671875
4145000,2609000,24286.6875
4147000,2609000,20784.5859375
4149000,2609000,23139.775390625
4151000,2609000,24368.18359375
4153000,2609000,28261.51171875
4155000,2609000,29633.04296875
4157000,2609000,29850.3359375
4159000,2609000,25486.486328125
4161000,2609000,20614.10546875
4163000,2609000,24593.677734375
4165000,2609000,26926.3203125
4167000,2609000,34074.640625
4169000,2609000,35799.3671875
4171000,2609000,30450.955078125
4173000,2609000,28253.875
4175000,2609000,31227.224609375
4177000,2609000,37674.9453125
4179000,2609000,34958.9921875
4181000,2609000,31182.4921875
4183000,2609000,33131.48046875
4185000,2609000,33454.703125
4187000,2609000,32853.0859375
4189000,2609000,30972.298828125
4191000,2609000,29031.48046875
4193000,2609000,26034.029296875
4195000,2609000,31534.515625
4197000,2609000,29581.4921875
4199000,2609000,32679.62109375
4201000,2609000,29224.18359375
4203000,2609000,27883.080078125
4205000,2609000,25756.830078125
4207000,2609000,28799.484375
4209000,2609000,29967.041015625
4211000,2609000,28227.109375
4213000,2609000,30987.693359375
4215000,2609000,33036.9609375
4217000,2609000,29898.546875
4219000,2609000,30745.0546875
4221000,2609000,33388.12890625
4223000,2609000,33184.1015625
4225000,2609000,32503.6328125
4227000,2609000,31066.142578125
4229000,2609000,28104.447265625
4231000,2609000,31595.4296875
4233000,2609000,29499.60546875
4235000,2609000,30290.625
4237000,2609000,32671.1015625
4239000,2609000,27715.01171875
4241000,2609000,29883.65234375
4243000,2609000,29193.7734375
4245000,2609000,30106.8828125
4247000,2609000,34121.60546875
4249000,2609000,32180.40625
4251000,2609000,33721.33984375
4253000,2609000,32229.669921875
4255000,2609000,27306.619140625
4257000,2609000,28529.1875
4259000,2609000,27336.2734375
4261000,2609000,31847.23046875
4263000,2609000,32466.591796875
4265000,2609000,29785.765625
4267000,2609000,33050.08203125
4269000,2609000,34129.8828125
4271000,2609000,32431.923828125
4273000,2609000,31529.205078125
4275000,2609000,28204.98046875
4277000,2609000,22584.1484375
4279000,2609000,29108.294921875
4281000,2609000,32750.517578125
4283000,2609000,33379.0078125
4285000,2609000,30189.529296875
4287000,2609000,28053.93359375
4289000,2609000,23794.962890625
4291000,2609000,23221.5859375
4293000,2609000,28202.974609375
4295000,2609000,30956.23046875
4297000,2609000,32677.4296875
4299000,2609000,34310.0078125
4301000,2609000,30758.296875
4303000,2609000,27674.94921875
4305000,2609000,30768.220703125
4307000,2609000,33776.85546875
4309000,2609000,34137.90625
4311000,2609000,32470.861328125
4313000,2609000,30827.451171875
4315000,2609000,28855.56640625
4317000,2609000,25477.51171875
4319000,2609000,26406.11328125
4321000,2609000,30545.85546875
4323000,2609000,28631.048828125
4325000,2609000,30709.076171875
4327000,2609000,29777.8203125
4329000,2609000,32510.765625
4331000,2609000,30432.95703125
4333000,2609000,30749.140625
4335000,2609000,28704.962890625
4337000,2609000,32263.37109375
4339000,2609000,29546.7734375
4341000,2609000,29679.892578125
4343000,2609000,29582.927734375
4345000,2609000,31623.150390625
4347000,2609000,32236.185546875
4349000,2609000,28880.09375
4351000,2609000,25833.732421875
4353000,2609000,24892.5234375
4355000,2609000,28073.103515625
4357000,2609000,32209.609375
4359000,2609000,32284.11328125
4361000,2609000,26452.515625
4363000,2609000,22391.72265625
4365000,2609000,24979.125
4367000,2609000,26085.00390625
4369000,2609000,27675.9765625
4371000,2609000,26814.21875
4373000,2609000,27070.3671875
4375000,2609000,24796.4609375
4377000,2609000,26292.40234375
4379000,2609000,25584.26171875
4381000,2609000,25462.474609375
4383000,2609000,22447.8359375
4385000,2609000,21800.701171875
4387000,2609000,23064.552734375
4389000,2609000,22950.4765625
4391000,2609000,27146.404296875
4393000,2609000,29286.576171875
4395000,2609000,30537.26171875
4397000,2609000,30891.4375
4399000,2609000,29965.642578125
4401000,2609000,26370.7734375
4403000,2609000,22135.142578125
4405000,2609000,20206.171875
4407000,2609000,25212.873046875
4409000,2609000,20153.373046875
4411000,2609000,16989.16796875
4413000,2609000,18314.681640625
4415000,2609000,24794.01953125
4417000,2609000,26888.087890625
4419000,2609000,28380.29296875
4421000,2609000,28140.2578125
4423000,2609000,28863.634765625
4425000,2609000,28477.7734375
4427000,2609000,24526.134765625
4429000,2609000,29607.84375
4431000,2609000,31105.90234375
4433000,2609000,31643
4435000,2609000,29395.2734375
4437000,2609000,22703.26953125
4439000,2609000,23311.876953125
4441000,2609000,25327.3515625
4443000,2609000,25208.98828125
4445000,2609000,25903.51171875
4447000,2609000,25587.712890625
4449000,2609000,26543.19921875
4451000,2609000,27395.01953125
4453000,2609000,30611.900390625
4455000,2609000,29887.53515625
4457000,2609000,32711.234375
4459000,2609000,30577.07421875
4461000,2609000,30383.376953125
4463000,2609000,32300.119140625
4465000,2609000,29262.88671875
4467000,2609000,24583.02734375
4469000,2609000,24890.798828125
4471000,2609000,28897.115234375
4473000,2609000,33735.96484375
4475000,2609000,30945.94140625
4477000,2609000,31600.701171875
4479000,2609000,27924.65234375
4481000,2609000,27494.400390625
4483000,2609000,23194.859375
4485000,2609000,26289.166015625
4487000,2609000,26789.4140625
4489000,2609000,30844.716796875
4491000,2609000,29861.39453125
4493000,2609000,25278.546875
4495000,2609000,27235.6953125
4497000,2609000,27184.865234375
4499000,2609000,24717.166015625
4501000,2609000,20292.203125
4503000,2609000,20905.18359375
4505000,2609000,17708.6484375
4507000,2609000,19487.68359375
4509000,2609000,21660.828125
4511000,2609000,20653.68359375
4513000,2609000,19661.1875
4515000,2609000,17762.07421875
4517000,2609000,17076.74609375
4519000,2609000,16352.986328125
4521000,2609000,18935.095703125
4523000,2609000,21780.7265625
4525000,2609000,17889.6875
4527000,2609000,17281.734375
4529000,2609000,18902.625
4531000,2609000,18551.201171875
4533000,2609000,20728.1796875
4535000,2609000,18638.22265625
4537000,2609000,17671.37890625
4539000,2609000,15109.2666015625
4541000,2609000,16435.134765625
4057000,2607000,24995.31640625
4059000,2607000,24945.38671875
4061000,2607000,25376.01953125
4063000,2607000,26027.416015625
4065000,2607000,26513.14453125
4067000,2607000,26897.22265625
4069000,2607000,25382.634765625
4071000,2607000,25162.896484375
4073000,2607000,24904.08203125
4075000,2607000,24147.072265625
4077000,2607000,22456.77734375
4079000,2607000,22522.236328125
4081000,2607000,23120.78125
4083000,2607000,22685.248046875
4085000,2607000,22891.19140625
4087000,2607000,24736.765625
4089000,2607000,25607.0234375
4091000,2607000,26823.953125
4093000,2607000,24271.08203125
4095000,2607000,21961.646484375
4097000,2607000,20359.0859375
4099000,2607000,23551.140625
4101000,2607000,27424.771484375
4103000,2607000,28953.279296875
4105000,2607000,26428.841796875
4107000,2607000,26510.37109375
4109000,2607000,25793.595703125
4111000,2607000,26580.5234375
4113000,2607000,26860.234375
4115000,2607000,24835.34375
4117000,2607000,23697.078125
4119000,2607000,20705.599609375
4121000,2607000,21245.310546875
4123000,2607000,25087.072265625
4125000,2607000,27366.857421875
4127000,2607000,25925.693359375
4129000,2607000,24786.142578125
4131000,2607000,27404.29296875
4133000,2607000,29128.501953125
4135000,2607000,24756.333984375
4137000,2607000,20061.634765625
4139000,2607000,22449.7734375
4141000,2607000,18980.787109375
4143000,2607000,23039.74609375
4145000,2607000,28326.22265625
4147000,2607000,23460.009765625
4149000,2607000,23003.521484375
4151000,2607000,28030.8359375
4153000,2607000,31235.201171875
4155000,2607000,30069.912109375
4157000,2607000,27183.171875
4159000,2607000,23214.30859375
4161000,2607000,23756.56640625
4163000,2607000,28559.599609375
4165000,2607000,32531.546875
4167000,2607000,38502.7421875
4169000,2607000,38614.703125
4171000,2607000,37277.140625
4173000,2607000,37579.24609375
4175000,2607000,35080.984375
4177000,2607000,36474.56640625
4179000,2607000,34196.7734375
4181000,2607000,31181.09375
4183000,2607000,30985.298828125
4185000,2607000,30172.2890625
4187000,2607000,29729.99609375
4189000,2607000,28306.171875
4191000,2607000,28631.95703125
4193000,2607000,28071.431640625
4195000,2607000,27123.36328125
4197000,2607000,28779.8828125
4199000,2607000,30972.7265625
4201000,2607000,31967.462890625
4203000,2607000,30028.18359375
4205000,2607000,28225.76953125
4207000,2607000,31306.388671875
4209000,2607000,29402.03515625
4211000,2607000,29412.36328125
4213000,2607000,31532.859375
4215000,2607000,32438.529296875
4217000,2607000,31055.2421875
4219000,2607000,29576.55859375
4221000,2607000,32231.255859375
4223000,2607000,32249.375
4225000,2607000,32163.37109375
4227000,2607000,29913.39453125
4229000,2607000,28513.9296875
4231000,2607000,33702.3359375
4233000,2607000,32799.359375
4235000,2607000,30880.62890625
4237000,2607000,28277.6640625
4239000,2607000,25104.10546875
4241000,2607000,26426.83203125
4243000,2607000,25942.03125
4245000,2607000,30963.76953125
4247000,2607000,34274.953125
4249000,2607000,31522.498046875
4251000,2607000,30864.091796875
4253000,2607000,29197.5
4255000,2607000,31209.00390625
4257000,2607000,32753.462890625
4259000,2607000,28943.328125
4261000,2607000,32484.14453125
4263000,2607000,33537.23828125
4265000,2607000,32711.896484375
4267000,2607000,32162.6015625
4269000,2607000,33226.4375
4271000,2607000,28270.634765625
4273000,2607000,26535.431640625
4275000,2607000,26872.833984375
4277000,2607000,24812.77734375
4279000,2607000,28370.56640625
4281000,2607000,33062.82421875
4283000,2607000,33892.53125
4285000,2607000,32400.333984375
4287000,2607000,28789.29296875
4289000,2607000,27321.9296875
4291000,2607000,24570.08203125
4293000,2607000,25384.9765625
4295000,2607000,29045.513671875
4297000,2607000,31246.44921875
4299000,2607000,34321.875
4301000,2607000,32198.541015625
4303000,2607000,31798.4296875
4305000,2607000,30638.9296875
4307000,2607000,31520.2734375
4309000,2607000,32223.51953125
4311000,2607000,32433.62109375
4313000,2607000,30059.107421875
4315000,2607000,25981.76953125
4317000,2607000,27861.42578125
4319000,2607000,31823.27734375
4321000,2607000,32608.033203125
4323000,2607000,30788.3828125
4325000,2607000,31165.1953125
4327000,2607000,33603.5546875
4329000,2607000,32693.990234375
4331000,2607000,30776.921875
4333000,2607000,27938.189453125
4335000,2607000,31144.0390625
4337000,2607000,33444.15234375
4339000,2607000,28224.310546875
4341000,2607000,31092.4140625
4343000,2607000,34352.85546875
4345000,2607000,31012.748046875
4347000,2607000,31880.4609375
4349000,2607000,31058.623046875
4351000,2607000,30224.46875
4353000,2607000,32428.04296875
4355000,2607000,30869.345703125
4357000,2607000,33883.6796875
4359000,2607000,31903.291015625
4361000,2607000,25532.6875
4363000,2607000,23846.318359375
4365000,2607000,30042.736328125
4367000,2607000,32939.3828125
4369000,2607000,33131.99609375
4371000,2607000,33674.6328125
4373000,2607000,29773.64453125
4375000,2607000,29912.76953125
4377000,2607000,32582.48046875
4379000,2607000,29899.53125
4381000,2607000,24714.62109375
4383000,2607000,22792.658203125
4385000,2607000,26139.087890625
4387000,2607000,29912.400390625
4389000,2607000,29055.31640625
4391000,2607000,31463.578125
4393000,2607000,31922.9375
4395000,2607000,31935.080078125
4397000,2607000,30048.2734375
4399000,2607000,27098.044921875
4401000,2607000,23301.83203125
4403000,2607000,20936.91015625
4405000,2607000,23681.4453125
4407000,2607000,26110.451171875
4409000,2607000,23853.2578125
4411000,2607000,19395.7109375
4413000,2607000,17922.4921875
4415000,2607000,20830.21875
4417000,2607000,25135.380859375
4419000,2607000,27810.6171875
4421000,2607000,28471.224609375
4423000,2607000,26144.33203125
4425000,2607000,25316.00390625
4427000,2607000,25359.46875
4429000,2607000,28693.306640625
4431000,2607000,29074.896484375
4433000,2607000,28760.25
4435000,2607000,26870.55078125
4437000,2607000,22087.888671875
4439000,2607000,23753.529296875
4441000,2607000,25433.623046875
4443000,2607000,28136.103515625
4445000,2607000,30766.716796875
4447000,2607000,27572.734375
4449000,2607000,28310.126953125
4451000,2607000,27066.009765625
4453000,2607000,26961.361328125
4455000,2607000,27561.41796875
4457000,2607000,28780.025390625
4459000,2607000,31240.923828125
4461000,2607000,31248.265625
4463000,2607000,28185.689453125
4465000,2607000,26864.732421875
4467000,2607000,27856.16015625
4469000,2607000,26927.53515625
4471000,2607000,25849.88671875
4473000,2607000,27618.79296875
4475000,2607000,31269.107421875
4477000,2607000,30974.2578125
4479000,2607000,31999.814453125
4481000,2607000,30026.0546875
4483000,2607000,24004.134765625
4485000,2607000,22049.791015625
4487000,2607000,23974.013671875
4489000,2607000,25654.18359375
4491000,2607000,25622.92578125
4493000,2607000,23160.818359375
4495000,2607000,23839.7109375
4497000,2607000,23906.984375
4499000,2607000,20717.14453125
4501000,2607000,19982.646484375
4503000,2607000,21125.755859375
4505000,2607000,19860.85546875
4507000,2607000,18056.001953125
4509000,2607000,17176.76171875
4511000,2607000,18545.599609375
4513000,2607000,20096.4140625
4515000,2607000,17067.884765625
4517000,2607000,18459.1875
4519000,2607000,19909.6796875
4521000,2607000,20067.48828125
4523000,2607000,22366.8203125
4525000,2607000,19280.0078125
4527000,2607000,21231.763671875
4529000,2607000,21973.041015625
4531000,2607000,22445.029296875
4533000,2607000,19879.9609375
4535000,2607000,18373.0703125
4537000,2607000,18860.783203125
4539000,2607000,18030.923828125
4541000,2607000,14300.0654296875
4057000,2605000,26108.96484375
4059000,2605000,25866.3359375
4061000,2605000,25205.626953125
4063000,2605000,25298.14453125
4065000,2605000,25360.201171875
4067000,2605000,25274.15625
4069000,2605000,25012.52734375
4071000,2605000,25690.921875
4073000,2605000,24873.19140625
4075000,2605000,24124.10546875
4077000,2605000,23450.87890625
4079000,2605000,23111.767578125
4081000,2605000,23889.5390625
4083000,2605000,22484.36328125
4085000,2605000,23734
4087000,2605000,24890.78515625
4089000,2605000,25980.64453125
4091000,2605000,26610.994140625
4093000,2605000,24898.5
4095000,2605000,20221.751953125
4097000,2605000,22988.59375
4099000,2605000,24687.1328125
4101000,2605000,28990.2109375
4103000,2605000,27682.79296875
4105000,2605000,25753.392578125
4107000,2605000,26096.41015625
4109000,2605000,24938.55859375
4111000,2605000,26198.076171875
4113000,2605000,25059.03515625
4115000,2605000,22959.42578125
4117000,2605000,22096.828125
4119000,2605000,23034.3984375
4121000,2605000,22168.30859375
4123000,2605000,26510.11328125
4125000,2605000,26567.62109375
4127000,2605000,27179.875
4129000,2605000,26947.70703125
4131000,2605000,26795.755859375
4133000,2605000,26858.82421875
4135000,2605000,22546.544921875
4137000,2605000,20717.2890625
4139000,2605000,26393.66015625
4141000,2605000,22109.056640625
4143000,2605000,22194.419921875
4145000,2605000,28604.326171875
4147000,2605000,27600.259765625
4149000,2605000,25944.369140625
4151000,2605000,26350.63671875
4153000,2605000,31287.271484375
4155000,2605000,26857.900390625
4157000,2605000,23794.87890625
4159000,2605000,22502.55859375
4161000,2605000,24509.669921875
4163000,2605000,35033.6015625
4165000,2605000,39182.16015625
4167000,2605000,37132.28515625
4169000,2605000,38919.99609375
4171000,2605000,37557.3125
4173000,2605000,40018.98046875
4175000,2605000,38465.9296875
4177000,2605000,40019.51171875
4179000,2605000,33824.96484375
4181000,2605000,34829.1796875
4183000,2605000,34756.2734375
4185000,2605000,32769.6171875
4187000,2605000,30855.341796875
4189000,2605000,31441.97265625
4191000,2605000,31110.322265625
4193000,2605000,27767.68359375
4195000,2605000,24266.625
4197000,2605000,29480.38671875
4199000,2605000,32887.3671875
4201000,2605000,32659.73828125
4203000,2605000,32212.28515625
4205000,2605000,31056.421875
4207000,2605000,32030.4296875
4209000,2605000,31120.998046875
4211000,2605000,28228.478515625
4213000,2605000,29305.193359375
4215000,2605000,29194.4375
4217000,2605000,26182.30078125
4219000,2605000,29180.111328125
4221000,2605000,28643.5390625
4223000,2605000,29862.951171875
4225000,2605000,31289.24609375
4227000,2605000,30969.234375
4229000,2605000,27843.865234375
4231000,2605000,29665.14453125
4233000,2605000,30535.341796875
4235000,2605000,28642.7578125
4237000,2605000,25849.38671875
4239000,2605000,23448.78125
4241000,2605000,26223.263671875
4243000,2605000,29603.98828125
4245000,2605000,32382.412109375
4247000,2605000,33052.46484375
4249000,2605000,31953.376953125
4251000,2605000,30527.5078125
4253000,2605000,32161.09375
4255000,2605000,33844.86328125
4257000,2605000,31169.640625
4259000,2605000,32202.1015625
4261000,2605000,32893.02734375
4263000,2605000,30252.958984375
4265000,2605000,31047.267578125
4267000,2605000,28945.16015625
4269000,2605000,26976.765625
4271000,2605000,26982.791015625
4273000,2605000,29012.72265625
4275000,2605000,28355.525390625
4277000,2605000,27233.107421875
4279000,2605000,27587.119140625
4281000,2605000,33587.98828125
4283000,2605000,34504.71875
4285000,2605000,31043.9375
4287000,2605000,28968.15625
4289000,2605000,31726.45703125
4291000,2605000,26829.7109375
4293000,2605000,26278.1796875
4295000,2605000,31490.1328125
4297000,2605000,33540.8984375
4299000,2605000,33762.26171875
4301000,2605000,34858.8515625
4303000,2605000,34417.3359375
4305000,2605000,31639.66796875
4307000,2605000,30738.8828125
4309000,2605000,28798.353515625
4311000,2605000,28359.12890625
4313000,2605000,26595.52734375
4315000,2605000,27933.271484375
4317000,2605000,28786.8515625
4319000,2605000,31368.76171875
4321000,2605000,34096.5078125
4323000,2605000,33672.67578125
4325000,2605000,32714.328125
4327000,2605000,33283.27734375
4329000,2605000,29931.23046875
4331000,2605000,28593.806640625
4333000,2605000,27568.3046875
4335000,2605000,30332.68359375
4337000,2605000,33045.265625
4339000,2605000,30271.947265625
4341000,2605000,29133.423828125
4343000,2605000,34236.3046875
4345000,2605000,33699.21875
4347000,2605000,33567.75390625
4349000,2605000,33624.75390625
4351000,2605000,33773.8828125
4353000,2605000,34981.52734375
4355000,2605000,33053.7265625
4357000,2605000,34623.5234375
4359000,2605000,30963.03125
4361000,2605000,26426.4296875
4363000,2605000,29675.81640625
4365000,2605000,29032.3125
4367000,2605000,33981.42578125
4369000,2605000,36060.07421875
4371000,2605000,36787.171875
4373000,2605000,31415.595703125
4375000,2605000,34716.93359375
4377000,2605000,34229.02734375
4379000,2605000,29457.87109375
4381000,2605000,24187.3671875
4383000,2605000,29132.9921875
4385000,2605000,32293.2578125
4387000,2605000,34514.19921875
4389000,2605000,32053.736328125
4391000,2605000,29031.57421875
4393000,2605000,27849.29296875
4395000,2605000,28733.43359375
4397000,2605000,25386.046875
4399000,2605000,23031.802734375
4401000,2605000,23524.3359375
4403000,2605000,23368.87890625
4405000,2605000,26573.439453125
4407000,2605000,26614.51171875
4409000,2605000,24305.64453125
4411000,2605000,21127.328125
4413000,2605000,18918.2890625
4415000,2605000,19323.2109375
4417000,2605000,23704.7421875
4419000,2605000,27688.6953125
4421000,2605000,28697.677734375
4423000,2605000,27586.267578125
4425000,2605000,25170.1328125
4427000,2605000,24304.5078125
4429000,2605000,26908.4921875
4431000,2605000,28254.650390625
4433000,2605000,27642.421875
4435000,2605000,24563.00390625
4437000,2605000,22114.69140625
4439000,2605000,24328.40625
4441000,2605000,25294.158203125
4443000,2605000,28551.3984375
4445000,2605000,31050.1875
4447000,2605000,30415.09765625
4449000,2605000,30234.7421875
4451000,2605000,28793.734375
4453000,2605000,28697.767578125
4455000,2605000,29913.03125
4457000,2605000,29373.365234375
4459000,2605000,31168.13671875
4461000,2605000,30521.09375
4463000,2605000,28542.900390625
4465000,2605000,27056.841796875
4467000,2605000,28358.25
4469000,2605000,28596.794921875
4471000,2605000,27669.7890625
4473000,2605000,28336.763671875
4475000,2605000,31995.92578125
4477000,2605000,31109.47265625
4479000,2605000,32405.048828125
4481000,2605000,28765.59765625
4483000,2605000,23705.90234375
4485000,2605000,21142.09765625
